gameid,week,date,homeTeam,awayTeam
2025090401,1,9/4/25,Eagles,Cowboys
2025090501,1,9/5/25,Chiefs,Chargers
2025090701,1,9/7/25,Buccaneers,Falcons
2025090702,1,9/7/25,Bengals,Browns
2025090703,1,9/7/25,Dolphins,Colts
2025090704,1,9/7/25,Raiders,Patriots
2025090705,1,9/7/25,Cardinals,Saints
2025090706,1,9/7/25,Steelers,Jets
2025090707,1,9/7/25,Giants,Commanders
2025090708,1,9/7/25,Panthers,Jaguars
2025090709,1,9/7/25,Titans,Broncos
2025090710,1,9/7/25,49ers,Seahawks
2025090711,1,9/7/25,Lions,Packers
2025090712,1,9/7/25,Texans,Rams
2025090713,1,9/7/25,Ravens,Bills
2025090714,1,9/8/25,Vikings,Bears